790363316: not in active state
790363360: not in active state
790367880, SCODE:102555TR, rc:0
790367885, SAPID:1111111111, rc:0
790367885, SCODE:102555TR, rc:0
790367890, SAPID:1111111111, rc:0
790367890, SCODE:102555TR, rc:0
790367909, SAPID:1111111111, rc:0
790367909, SCODE:102555TR, rc:0
790367917, SAPID:1111111111, rc:0
790367917, SCODE:102555TR, rc:0
790367932, SAPID:1111111111, rc:0
790367932, SCODE:102555TR, rc:0
790367935, SAPID:1111111111, rc:0
790367935, SCODE:102555TR, rc:0
790367937, SAPID:1111111111, rc:0
790367937, SCODE:102555TR, rc:0
790367940, SAPID:1111111111, rc:0
790367940, SCODE:102555TR, rc:0
790367948, SAPID:1111111111, rc:0
790367948, SCODE:102555TR, rc:0
790370372, SAPID:1111111111, rc:0
790370372, SCODE:102555TR, rc:0
790370386, SAPID:1111111111, rc:0
790370386, SCODE:102555TR, rc:0
790370389, SAPID:1111111111, rc:0
790370389, SCODE:102555TR, rc:0
790370411, SAPID:1111111111, rc:0
790370411, SCODE:102555TR, rc:0
790370432, SAPID:1111111111, rc:0
790370432, SCODE:102555TR, rc:0
790370437, SAPID:1111111111, rc:0
790370437, SCODE:102555TR, rc:0
790370449, SAPID:1111111111, rc:0
790370449, SCODE:102555TR, rc:0
790370465, SAPID:1111111111, rc:0
790370465, SCODE:102555TR, rc:0
790370469, SAPID:1111111111, rc:0
790370469, SCODE:102555TR, rc:0
790370474, SAPID:1111111111, rc:0
790370474, SCODE:102555TR, rc:0
790370475, SAPID:1111111111, rc:0
790370475, SCODE:102555TR, rc:0
790370480, SAPID:1111111111, rc:0
790370480, SCODE:102555TR, rc:0
790363800, SAPID:1111111111, rc:0
790363800, SCODE:102555TR, rc:0
790363802, SAPID:1111111111, rc:0
790363802, SCODE:102555TR, rc:0
790363828, SAPID:1111111111, rc:0
790363828, SCODE:102555TR, rc:0
790363834, SAPID:1111111111, rc:0
790363834, SCODE:102555TR, rc:0
790363835, SAPID:1111111111, rc:0
790363835, SCODE:102555TR, rc:0
790363837, SAPID:1111111111, rc:0
790363837, SCODE:102555TR, rc:0
790363838, SAPID:1111111111, rc:0
790363838, SCODE:102555TR, rc:0
790363843, SAPID:1111111111, rc:0
790363843, SCODE:102555TR, rc:0
790363846, SAPID:1111111111, rc:0
790363846, SCODE:102555TR, rc:0
790363860, SAPID:1111111111, rc:0
790363860, SCODE:102555TR, rc:0
790363862, SAPID:1111111111, rc:0
790363862, SCODE:102555TR, rc:0
790363871, SAPID:1111111111, rc:0
790363871, SCODE:102555TR, rc:0
790365356, SAPID:25001701, rc:3
790365356, SCODE:101525EE, rc:0
790365396, SAPID:25001711, rc:3
790365396, SCODE:101525EE, rc:0
790365397, SAPID:25001765, rc:3
790365397, SCODE:102820TP, rc:0
790365400, SAPID:25001719, rc:3
790365400, SCODE:100057TP, rc:0
790365401, SAPID:25001719, rc:3
790365401, SCODE:100057TP, rc:0
790371743, SAPID:25001618, rc:3
790371743, SCODE:101525EE, rc:0
790371750, SAPID:25001538, rc:3
790371750, SCODE:101525EE, rc:0
790371752, SAPID:25001542, rc:3
790371752, SCODE:101525EE, rc:0
790371765, SAPID:25001550, rc:3
790371765, SCODE:101525EE, rc:0
790371782, SAPID:25001689, rc:3
790371782, SCODE:101525EE, rc:0
790371808, SAPID:25001610, rc:3
790371808, SCODE:101525EE, rc:0
790371813, SAPID:25001524, rc:3
790371813, SCODE:101525EE, rc:0
790371814, SAPID:25001525, rc:3
790371814, SCODE:100323TP, rc:0
790369947, SAPID:1111111111, rc:0
790369947, SCODE:102555TR, rc:0
790369960, SAPID:1111111111, rc:0
790369960, SCODE:102555TR, rc:0
790363688, SAPID:1111111111, rc:0
790363688, SCODE:102555TR, rc:0
790363690, SAPID:1111111111, rc:0
790363690, SCODE:102555TR, rc:0
790363691, SAPID:1111111111, rc:0
790363691, SCODE:102555TR, rc:0
790363714, SAPID:1111111111, rc:0
790363714, SCODE:102555TR, rc:0
790363722, SAPID:1111111111, rc:0
790363722, SCODE:102555TR, rc:0
790363739, SAPID:1111111111, rc:0
790363739, SCODE:102555TR, rc:0
790363755, SAPID:1111111111, rc:0
790363755, SCODE:102555TR, rc:0
790363776, SAPID:1111111111, rc:0
790363776, SCODE:102555TR, rc:0
790363777, SAPID:1111111111, rc:0
790363777, SCODE:102555TR, rc:0
790363784, SAPID:1111111111, rc:0
790363784, SCODE:102555TR, rc:0
790363786, SAPID:1111111111, rc:0
790363786, SCODE:102555TR, rc:0
790365837, SAPID:1111111111, rc:0
790365837, SCODE:102555TR, rc:0
790365841, SAPID:1111111111, rc:0
790365841, SCODE:102555TR, rc:0
790365843, SAPID:1111111111, rc:0
790365843, SCODE:102555TR, rc:0
790365847, SAPID:1111111111, rc:0
790365847, SCODE:102555TR, rc:0
790365871, SAPID:1111111111, rc:0
790365871, SCODE:102555TR, rc:0
790365897, SAPID:1111111111, rc:0
790365897, SCODE:102555TR, rc:0
790365906, SAPID:1111111111, rc:0
790365906, SCODE:102555TR, rc:0
790365926, SAPID:1111111111, rc:0
790365926, SCODE:102555TR, rc:0
790365932, SAPID:1111111111, rc:0
790365932, SCODE:102555TR, rc:0
790365937, SAPID:1111111111, rc:0
790365937, SCODE:102555TR, rc:0
790367853, SAPID:1111111111, rc:0
790367853, SCODE:102555TR, rc:0
790367865, SAPID:1111111111, rc:0
790367865, SCODE:102555TR, rc:0
790367901, SAPID:1111111111, rc:0
790367901, SCODE:102555TR, rc:0
790367905, SAPID:1111111111, rc:0
790367905, SCODE:102555TR, rc:0
790367907, SAPID:1111111111, rc:0
790367907, SCODE:102555TR, rc:0
790367911, SAPID:1111111111, rc:0
790367911, SCODE:102555TR, rc:0
790367915, SAPID:1111111111, rc:0
790367915, SCODE:102555TR, rc:0
790367939, SAPID:1111111111, rc:0
790367939, SCODE:102555TR, rc:0
